IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
47.236.28.75,443,true,SIN,Asia Pacific,Singapore,65,6.09
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,48,6.03
8.219.147.206,443,true,SIN,Asia Pacific,Singapore,75,6.01
8.222.134.183,443,true,SIN,Asia Pacific,Singapore,63,5.70
8.219.166.160,443,true,SIN,Asia Pacific,Singapore,72,5.58
152.70.95.184,443,true,ICN,Asia Pacific,Seoul,65,5.56
8.219.133.92,443,true,SIN,Asia Pacific,Singapore,64,5.40
8.222.154.106,443,true,SIN,Asia Pacific,Singapore,70,5.38
23.106.140.97,443,true,KIX,Asia Pacific,Osaka,39,5.38
8.219.134.184,443,true,SIN,Asia Pacific,Singapore,68,5.36
47.236.26.131,443,true,SIN,Asia Pacific,Singapore,66,5.36
47.245.111.221,443,true,SIN,Asia Pacific,Singapore,76,5.36
47.236.15.165,443,true,SIN,Asia Pacific,Singapore,66,5.31
8.222.191.69,443,true,SIN,Asia Pacific,Singapore,71,5.30
47.245.116.201,443,true,SIN,Asia Pacific,Singapore,62,5.27
141.98.196.223,443,true,NRT,Asia Pacific,Tokyo,39,5.25
47.245.118.150,443,true,SIN,Asia Pacific,Singapore,73,5.25
193.122.114.111,443,true,ICN,Asia Pacific,Seoul,66,5.22
23.106.140.97,443,true,KIX,Asia Pacific,Osaka,38,5.22
8.219.147.157,443,true,SIN,Asia Pacific,Singapore,65,5.22
8.219.141.138,443,true,SIN,Asia Pacific,Singapore,61,5.20
8.222.137.2,443,true,SIN,Asia Pacific,Singapore,64,5.18
132.226.235.59,443,true,ICN,Asia Pacific,Seoul,66,5.09
152.70.90.122,443,true,ICN,Asia Pacific,Seoul,62,5.09
168.138.165.79,443,true,SIN,Asia Pacific,Singapore,261,5.08
47.236.4.223,443,true,SIN,Asia Pacific,Singapore,63,5.07
8.222.191.118,443,true,SIN,Asia Pacific,Singapore,68,5.03
8.222.184.184,443,true,SIN,Asia Pacific,Singapore,63,5.02
64.110.71.88,443,true,ICN,Asia Pacific,Seoul,61,5.01
8.222.184.147,443,true,SIN,Asia Pacific,Singapore,67,5.01
8.219.161.50,443,true,SIN,Asia Pacific,Singapore,69,5.01
47.245.111.143,443,true,SIN,Asia Pacific,Singapore,73,5.00
47.236.111.247,443,true,SIN,Asia Pacific,Singapore,65,4.97
8.222.171.109,443,true,SIN,Asia Pacific,Singapore,66,4.96
8.222.185.169,443,true,SIN,Asia Pacific,Singapore,61,4.95
8.219.150.150,443,true,SIN,Asia Pacific,Singapore,71,4.95
47.236.28.148,443,true,SIN,Asia Pacific,Singapore,60,4.94
8.219.166.96,443,true,SIN,Asia Pacific,Singapore,67,4.94
47.236.4.156,443,true,SIN,Asia Pacific,Singapore,65,4.93
8.222.189.34,443,true,SIN,Asia Pacific,Singapore,61,4.93
8.222.152.245,443,true,SIN,Asia Pacific,Singapore,68,4.93
47.245.111.192,443,true,SIN,Asia Pacific,Singapore,65,4.92
8.222.158.42,443,true,SIN,Asia Pacific,Singapore,65,4.92
8.219.205.67,443,true,SIN,Asia Pacific,Singapore,71,4.92
8.219.196.217,443,true,SIN,Asia Pacific,Singapore,62,4.91
47.236.128.130,443,true,SIN,Asia Pacific,Singapore,61,4.90
8.222.185.7,443,true,SIN,Asia Pacific,Singapore,61,4.82
8.222.129.9,443,true,SIN,Asia Pacific,Singapore,64,4.80
8.219.204.174,443,true,SIN,Asia Pacific,Singapore,61,4.80
47.236.115.49,443,true,SIN,Asia Pacific,Singapore,61,4.79
8.222.185.189,443,true,SIN,Asia Pacific,Singapore,67,4.77
146.56.170.24,443,true,ICN,Asia Pacific,Seoul,65,4.76
47.236.84.24,443,true,SIN,Asia Pacific,Singapore,69,4.74
8.219.174.41,443,true,SIN,Asia Pacific,Singapore,69,4.65
8.222.171.179,443,true,SIN,Asia Pacific,Singapore,65,4.64
8.219.132.126,443,true,SIN,Asia Pacific,Singapore,65,4.63
8.219.139.132,443,true,SIN,Asia Pacific,Singapore,66,4.63
8.219.232.8,443,true,SIN,Asia Pacific,Singapore,68,4.57
8.219.228.58,443,true,SIN,Asia Pacific,Singapore,71,4.56
8.219.164.148,443,true,SIN,Asia Pacific,Singapore,68,4.55
168.138.162.187,443,true,SIN,Asia Pacific,Singapore,936,4.55
47.236.29.145,443,true,SIN,Asia Pacific,Singapore,74,4.53
8.222.130.87,443,true,SIN,Asia Pacific,Singapore,63,4.53
47.236.136.199,443,true,SIN,Asia Pacific,Singapore,67,4.53
47.245.98.49,443,true,SIN,Asia Pacific,Singapore,67,4.52
8.222.145.127,443,true,SIN,Asia Pacific,Singapore,65,4.50
8.219.198.252,443,true,SIN,Asia Pacific,Singapore,71,4.50
47.245.119.100,443,true,SIN,Asia Pacific,Singapore,68,4.50
8.219.206.23,443,true,SIN,Asia Pacific,Singapore,68,4.50
8.219.174.29,443,true,SIN,Asia Pacific,Singapore,62,4.50
193.123.252.211,443,true,ICN,Asia Pacific,Seoul,69,4.49
8.219.146.191,443,true,SIN,Asia Pacific,Singapore,65,4.49
8.219.230.215,443,true,SIN,Asia Pacific,Singapore,66,4.47
146.56.159.128,443,true,ICN,Asia Pacific,Seoul,68,4.47
8.222.157.38,443,true,SIN,Asia Pacific,Singapore,64,4.46
8.219.200.83,443,true,SIN,Asia Pacific,Singapore,67,4.46
8.219.241.203,443,true,SIN,Asia Pacific,Singapore,60,4.44
8.219.214.163,443,true,SIN,Asia Pacific,Singapore,68,4.44
8.219.197.156,443,true,SIN,Asia Pacific,Singapore,74,4.43
217.142.138.20,443,true,ICN,Asia Pacific,Seoul,65,4.41
47.245.109.104,443,true,SIN,Asia Pacific,Singapore,72,4.40
8.222.166.135,443,true,SIN,Asia Pacific,Singapore,71,4.36
8.219.190.224,443,true,SIN,Asia Pacific,Singapore,64,4.31
193.122.125.223,443,true,ICN,Asia Pacific,Seoul,70,4.30
8.219.138.133,443,true,SIN,Asia Pacific,Singapore,72,4.29
8.219.246.105,443,true,SIN,Asia Pacific,Singapore,69,4.27
8.219.176.8,443,true,SIN,Asia Pacific,Singapore,71,4.25
8.219.204.166,443,true,SIN,Asia Pacific,Singapore,66,4.25
8.219.129.42,443,true,SIN,Asia Pacific,Singapore,63,4.23
8.222.187.4,443,true,SIN,Asia Pacific,Singapore,66,4.18
38.47.127.45,443,true,NRT,Asia Pacific,Tokyo,57,4.18
8.219.206.139,443,true,SIN,Asia Pacific,Singapore,61,4.05
8.219.219.149,443,true,SIN,Asia Pacific,Singapore,63,4.05
8.219.250.76,443,true,SIN,Asia Pacific,Singapore,67,4.03
8.219.223.189,443,true,SIN,Asia Pacific,Singapore,71,4.02
47.245.125.77,443,true,SIN,Asia Pacific,Singapore,1085,4.00
193.122.114.111,443,true,ICN,Asia Pacific,Seoul,69,4.00
8.219.202.219,443,true,SIN,Asia Pacific,Singapore,68,3.99
47.245.119.164,443,true,NRT,Asia Pacific,Tokyo,73,3.97
8.219.209.210,443,true,SIN,Asia Pacific,Singapore,68,3.94
8.222.157.205,443,true,SIN,Asia Pacific,Singapore,64,3.91
8.222.153.110,443,true,SIN,Asia Pacific,Singapore,70,3.87
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,29,3.87
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,48,3.83
130.162.153.35,443,true,ICN,Asia Pacific,Seoul,66,3.82
47.245.127.241,443,true,SIN,Asia Pacific,Singapore,65,3.80
146.56.154.249,443,true,ICN,Asia Pacific,Seoul,65,3.76
8.219.252.124,443,true,SIN,Asia Pacific,Singapore,72,3.76
8.219.138.68,443,true,SIN,Asia Pacific,Singapore,66,3.72
8.219.128.177,443,true,SIN,Asia Pacific,Singapore,64,3.71
8.219.201.188,443,true,SIN,Asia Pacific,Singapore,65,3.68
8.222.138.139,443,true,SIN,Asia Pacific,Singapore,67,3.66
8.219.182.146,443,true,SIN,Asia Pacific,Singapore,64,3.52
8.222.138.169,443,true,SIN,Asia Pacific,Singapore,66,3.48
8.219.206.24,443,true,SIN,Asia Pacific,Singapore,67,3.43
146.56.150.157,443,true,ICN,Asia Pacific,Seoul,68,3.43
47.236.9.74,443,true,NRT,Asia Pacific,Tokyo,70,3.31
193.122.107.147,443,true,ICN,Asia Pacific,Seoul,72,3.29
8.219.138.144,443,true,SIN,Asia Pacific,Singapore,72,2.93
146.56.170.220,443,true,ICN,Asia Pacific,Seoul,67,2.89
47.236.83.240,443,true,SIN,Asia Pacific,Singapore,62,2.84
