IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.212.243,443,true,SIN,Asia Pacific,Singapore,67,6.52
8.219.182.251,443,true,SIN,Asia Pacific,Singapore,68,6.29
8.219.201.15,443,true,SIN,Asia Pacific,Singapore,67,6.05
8.219.218.112,443,true,SIN,Asia Pacific,Singapore,62,6.01
8.219.220.40,443,true,SIN,Asia Pacific,Singapore,68,5.99
8.219.218.31,443,true,SIN,Asia Pacific,Singapore,58,5.82
47.236.22.27,443,true,SIN,Asia Pacific,Singapore,70,5.78
8.219.244.211,443,true,SIN,Asia Pacific,Singapore,65,5.69
8.222.129.141,443,true,SIN,Asia Pacific,Singapore,67,5.67
8.219.199.25,443,true,SIN,Asia Pacific,Singapore,64,5.63
8.219.182.42,443,true,SIN,Asia Pacific,Singapore,67,5.61
8.219.132.249,443,true,SIN,Asia Pacific,Singapore,63,5.59
8.219.130.147,443,true,SIN,Asia Pacific,Singapore,69,5.59
8.219.253.94,443,true,SIN,Asia Pacific,Singapore,72,5.55
38.47.127.45,443,true,NRT,Asia Pacific,Tokyo,39,5.44
8.219.245.43,443,true,SIN,Asia Pacific,Singapore,66,5.37
8.222.147.171,443,true,SIN,Asia Pacific,Singapore,66,5.36
8.222.179.159,443,true,SIN,Asia Pacific,Singapore,65,5.35
8.222.133.167,443,true,SIN,Asia Pacific,Singapore,64,5.34
8.222.130.172,443,true,SIN,Asia Pacific,Singapore,67,5.34
8.219.205.188,443,true,SIN,Asia Pacific,Singapore,68,5.31
8.222.172.149,443,true,NRT,Asia Pacific,Tokyo,73,5.28
8.222.165.156,443,true,SIN,Asia Pacific,Singapore,64,5.28
8.219.236.150,443,true,SIN,Asia Pacific,Singapore,74,5.28
8.219.223.7,443,true,SIN,Asia Pacific,Singapore,65,5.24
8.222.133.159,443,true,SIN,Asia Pacific,Singapore,67,5.21
8.222.134.9,443,true,SIN,Asia Pacific,Singapore,63,5.19
8.222.185.220,443,true,SIN,Asia Pacific,Singapore,68,5.18
193.122.116.9,443,true,ICN,Asia Pacific,Seoul,68,5.17
8.222.150.234,443,true,SIN,Asia Pacific,Singapore,66,5.17
47.245.121.167,443,true,SIN,Asia Pacific,Singapore,63,5.16
8.219.255.140,443,true,SIN,Asia Pacific,Singapore,68,5.15
193.123.224.159,443,true,ICN,Asia Pacific,Seoul,64,5.15
146.56.45.25,443,true,ICN,Asia Pacific,Seoul,71,5.09
8.219.184.96,443,true,SIN,Asia Pacific,Singapore,69,5.09
8.219.251.47,443,true,SIN,Asia Pacific,Singapore,66,5.05
8.219.240.122,443,true,SIN,Asia Pacific,Singapore,68,5.04
8.219.189.69,443,true,SIN,Asia Pacific,Singapore,67,5.04
8.219.252.138,443,true,SIN,Asia Pacific,Singapore,62,5.04
8.219.193.175,443,true,SIN,Asia Pacific,Singapore,69,5.03
8.222.167.234,443,true,SIN,Asia Pacific,Singapore,69,5.03
131.186.17.87,443,true,ICN,Asia Pacific,Seoul,1100,4.97
8.219.164.207,443,true,SIN,Asia Pacific,Singapore,66,4.96
64.110.90.182,443,true,ICN,Asia Pacific,Seoul,64,4.96
47.236.11.112,443,true,SIN,Asia Pacific,Singapore,68,4.94
8.222.130.84,443,true,SIN,Asia Pacific,Singapore,62,4.92
8.219.175.81,443,true,SIN,Asia Pacific,Singapore,66,4.92
8.222.148.90,443,true,SIN,Asia Pacific,Singapore,73,4.92
8.219.237.17,443,true,SIN,Asia Pacific,Singapore,72,4.91
8.222.182.230,443,true,SIN,Asia Pacific,Singapore,68,4.90
8.219.134.94,443,true,SIN,Asia Pacific,Singapore,67,4.90
64.110.71.130,443,true,ICN,Asia Pacific,Seoul,64,4.88
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,4.86
8.222.172.80,443,true,SIN,Asia Pacific,Singapore,67,4.85
47.236.111.66,443,true,SIN,Asia Pacific,Singapore,69,4.84
8.219.180.193,443,true,SIN,Asia Pacific,Singapore,63,4.81
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,71,4.80
8.219.142.139,443,true,SIN,Asia Pacific,Singapore,64,4.80
8.219.133.7,443,true,SIN,Asia Pacific,Singapore,63,4.80
8.219.245.53,443,true,SIN,Asia Pacific,Singapore,61,4.76
8.222.152.240,443,true,SIN,Asia Pacific,Singapore,70,4.73
8.219.161.178,443,true,SIN,Asia Pacific,Singapore,74,4.71
8.219.192.235,443,true,SIN,Asia Pacific,Singapore,69,4.70
8.219.205.255,443,true,SIN,Asia Pacific,Singapore,70,4.69
193.123.233.108,443,true,ICN,Asia Pacific,Seoul,67,4.67
8.219.137.112,443,true,SIN,Asia Pacific,Singapore,72,4.67
8.219.161.230,443,true,SIN,Asia Pacific,Singapore,66,4.60
47.236.11.123,443,true,SIN,Asia Pacific,Singapore,67,4.58
152.70.249.72,443,true,ICN,Asia Pacific,Seoul,63,4.55
8.219.236.71,443,true,SIN,Asia Pacific,Singapore,75,4.40
47.236.21.194,443,true,SIN,Asia Pacific,Singapore,71,4.39
8.219.198.85,443,true,SIN,Asia Pacific,Singapore,64,4.39
47.236.56.147,443,true,SIN,Asia Pacific,Singapore,67,4.36
8.219.133.222,443,true,SIN,Asia Pacific,Singapore,67,4.36
47.245.120.128,443,true,SIN,Asia Pacific,Singapore,66,4.35
193.123.224.87,443,true,ICN,Asia Pacific,Seoul,65,4.34
146.56.184.212,443,true,ICN,Asia Pacific,Seoul,61,4.30
8.219.199.191,443,true,SIN,Asia Pacific,Singapore,64,4.28
141.98.196.223,443,true,NRT,Asia Pacific,Tokyo,41,4.26
8.219.232.80,443,true,SIN,Asia Pacific,Singapore,63,4.23
8.222.162.45,443,true,SIN,Asia Pacific,Singapore,71,4.22
8.219.176.222,443,true,SIN,Asia Pacific,Singapore,67,4.22
47.236.106.19,443,true,HKG,Asia Pacific,Hong Kong,69,4.20
217.142.128.252,443,true,ICN,Asia Pacific,Seoul,68,4.20
8.219.130.5,443,true,SIN,Asia Pacific,Singapore,67,4.19
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,49,4.16
47.236.134.198,443,true,SIN,Asia Pacific,Singapore,73,4.16
47.236.28.57,443,true,SIN,Asia Pacific,Singapore,63,4.14
8.222.147.194,443,true,SIN,Asia Pacific,Singapore,65,4.14
213.130.143.166,443,true,HKG,Asia Pacific,Hong Kong,118,4.13
8.222.183.54,443,true,SIN,Asia Pacific,Singapore,59,4.13
47.245.106.140,443,true,SIN,Asia Pacific,Singapore,71,4.13
8.219.242.15,443,true,SIN,Asia Pacific,Singapore,64,4.12
146.56.129.202,443,true,ICN,Asia Pacific,Seoul,66,4.12
47.245.118.162,443,true,SIN,Asia Pacific,Singapore,72,4.09
8.219.204.8,443,true,SIN,Asia Pacific,Singapore,72,4.08
8.222.184.191,443,true,SIN,Asia Pacific,Singapore,72,4.07
8.222.171.224,443,true,SIN,Asia Pacific,Singapore,70,3.94
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,29,3.91
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,42,3.86
47.236.122.163,443,true,SIN,Asia Pacific,Singapore,65,3.85
45.77.130.245,443,true,NRT,Asia Pacific,Tokyo,130,3.82
64.110.79.3,443,true,ICN,Asia Pacific,Seoul,66,3.81
193.123.236.142,443,true,ICN,Asia Pacific,Seoul,66,3.79
217.142.138.20,443,true,ICN,Asia Pacific,Seoul,67,3.77
8.222.162.251,443,true,SIN,Asia Pacific,Singapore,60,3.72
8.219.234.250,443,true,SIN,Asia Pacific,Singapore,72,3.70
8.219.230.218,443,true,SIN,Asia Pacific,Singapore,73,3.68
47.236.117.124,443,true,SIN,Asia Pacific,Singapore,69,3.64
8.219.198.73,443,true,SIN,Asia Pacific,Singapore,64,3.63
130.162.155.126,443,true,ICN,Asia Pacific,Seoul,63,3.62
47.236.130.241,443,true,SIN,Asia Pacific,Singapore,66,3.59
47.236.77.43,443,true,SIN,Asia Pacific,Singapore,67,3.59
47.245.123.179,443,true,SIN,Asia Pacific,Singapore,67,3.54
47.236.104.28,443,true,SIN,Asia Pacific,Singapore,73,3.52
64.110.78.131,443,true,ICN,Asia Pacific,Seoul,65,3.51
47.236.29.58,443,true,SIN,Asia Pacific,Singapore,70,3.47
8.222.166.252,443,true,SIN,Asia Pacific,Singapore,64,3.41
152.70.90.168,443,true,ICN,Asia Pacific,Seoul,68,3.19
47.236.134.150,443,true,SIN,Asia Pacific,Singapore,65,3.19
47.236.117.66,443,true,NRT,Asia Pacific,Tokyo,64,3.16
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,47,3.16
193.122.107.147,443,true,ICN,Asia Pacific,Seoul,65,3.08
