IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
31.12.75.161,443,true,LAX,North America,Los Angeles,176,4.81
108.162.194.219,443,true,LAX,North America,Los Angeles,169,4.49
108.162.194.173,443,true,LAX,North America,Los Angeles,188,4.47
5.10.247.175,443,true,LAX,North America,Los Angeles,175,4.45
108.162.194.23,443,true,LAX,North America,Los Angeles,169,4.38
45.131.211.16,443,true,LAX,North America,Los Angeles,171,4.29
5.10.247.74,443,true,LAX,North America,Los Angeles,169,4.29
31.12.75.110,443,true,LAX,North America,Los Angeles,176,4.26
5.10.246.140,443,true,LAX,North America,Los Angeles,186,4.25
31.12.75.157,443,true,LAX,North America,Los Angeles,181,4.24
5.10.246.125,443,true,LAX,North America,Los Angeles,178,4.23
108.162.194.88,443,true,LAX,North America,Los Angeles,1204,4.22
31.12.75.69,443,true,LAX,North America,Los Angeles,175,4.21
5.10.244.66,443,true,LAX,North America,Los Angeles,188,4.21
5.10.245.195,443,true,LAX,North America,Los Angeles,173,4.20
45.131.211.58,443,true,LAX,North America,Los Angeles,181,4.16
45.131.210.183,443,true,LAX,North America,Los Angeles,168,4.15
5.10.246.160,443,true,LAX,North America,Los Angeles,183,4.14
108.162.194.231,443,true,LAX,North America,Los Angeles,187,4.13
5.10.244.189,443,true,LAX,North America,Los Angeles,184,4.13
5.10.246.237,443,true,LAX,North America,Los Angeles,186,4.12
5.10.244.43,443,true,LAX,North America,Los Angeles,188,4.12
5.10.247.116,443,true,LAX,North America,Los Angeles,190,4.11
5.10.246.216,443,true,LAX,North America,Los Angeles,176,4.09
45.131.211.26,443,true,LAX,North America,Los Angeles,183,4.04
108.162.194.6,443,true,LAX,North America,Los Angeles,178,4.04
45.202.113.221,443,true,LAX,North America,Los Angeles,181,4.04
5.10.245.120,443,true,LAX,North America,Los Angeles,171,4.03
5.10.247.68,443,true,LAX,North America,Los Angeles,178,4.03
5.10.246.103,443,true,LAX,North America,Los Angeles,181,4.01
45.202.113.243,443,true,LAX,North America,Los Angeles,179,4.01
5.10.247.51,443,true,LAX,North America,Los Angeles,182,4.01
5.10.247.17,443,true,LAX,North America,Los Angeles,184,4.01
45.131.208.81,443,true,LAX,North America,Los Angeles,173,4.00
45.131.210.206,443,true,LAX,North America,Los Angeles,182,4.00
45.131.210.227,443,true,LAX,North America,Los Angeles,181,3.99
45.131.210.152,443,true,LAX,North America,Los Angeles,180,3.99
38.47.117.77,443,true,LAX,North America,Los Angeles,137,3.97
45.131.211.3,443,true,LAX,North America,Los Angeles,175,3.97
45.131.210.144,443,true,LAX,North America,Los Angeles,178,3.97
31.12.75.13,443,true,LAX,North America,Los Angeles,175,3.97
5.10.245.121,443,true,LAX,North America,Los Angeles,171,3.97
5.10.246.157,443,true,LAX,North America,Los Angeles,167,3.96
45.131.211.145,443,true,LAX,North America,Los Angeles,169,3.96
5.10.247.52,443,true,LAX,North America,Los Angeles,179,3.95
31.12.75.74,443,true,LAX,North America,Los Angeles,182,3.95
31.12.75.40,443,true,LAX,North America,Los Angeles,182,3.94
5.10.246.67,443,true,LAX,North America,Los Angeles,185,3.94
108.162.194.183,443,true,LAX,North America,Los Angeles,190,3.94
5.10.247.73,443,true,LAX,North America,Los Angeles,175,3.93
31.12.75.202,443,true,LAX,North America,Los Angeles,176,3.93
108.162.194.209,443,true,LAX,North America,Los Angeles,173,3.92
5.10.246.251,443,true,LAX,North America,Los Angeles,181,3.90
5.10.246.174,443,true,LAX,North America,Los Angeles,164,3.90
108.162.194.178,443,true,LAX,North America,Los Angeles,185,3.90
5.10.247.183,443,true,LAX,North America,Los Angeles,181,3.89
45.202.113.63,443,true,LAX,North America,Los Angeles,183,3.88
5.10.246.173,443,true,LAX,North America,Los Angeles,176,3.85
5.10.247.78,443,true,LAX,North America,Los Angeles,174,3.85
45.202.113.200,443,true,LAX,North America,Los Angeles,175,3.83
45.131.210.201,443,true,LAX,North America,Los Angeles,181,3.83
108.162.194.184,443,true,LAX,North America,Los Angeles,176,3.82
5.10.247.98,443,true,LAX,North America,Los Angeles,182,3.82
5.10.245.63,443,true,LAX,North America,Los Angeles,224,3.82
45.131.208.190,443,true,LAX,North America,Los Angeles,175,3.81
5.10.245.110,443,true,LAX,North America,Los Angeles,177,3.81
5.10.247.53,443,true,LAX,North America,Los Angeles,177,3.81
108.162.194.215,443,true,LAX,North America,Los Angeles,176,3.81
