IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
130.250.137.250,443,true,LAX,North America,Los Angeles,176,3.91
5.10.247.53,443,true,LAX,North America,Los Angeles,177,3.90
5.10.244.76,443,true,LAX,North America,Los Angeles,171,3.90
5.10.246.50,443,true,LAX,North America,Los Angeles,185,3.90
5.10.245.3,443,true,LAX,North America,Los Angeles,193,3.90
135.84.64.16,443,true,LAX,North America,Los Angeles,176,3.90
5.10.245.7,443,true,LAX,North America,Los Angeles,185,3.89
130.250.137.34,443,true,LAX,North America,Los Angeles,187,3.89
5.10.247.108,443,true,LAX,North America,Los Angeles,186,3.89
5.10.244.225,443,true,LAX,North America,Los Angeles,183,3.89
5.10.247.88,443,true,LAX,North America,Los Angeles,186,3.88
5.10.244.173,443,true,LAX,North America,Los Angeles,180,3.88
45.131.211.92,443,true,LAX,North America,Los Angeles,181,3.88
130.250.137.199,443,true,LAX,North America,Los Angeles,1279,3.88
130.250.137.91,443,true,LAX,North America,Los Angeles,175,3.88
5.10.247.194,443,true,LAX,North America,Los Angeles,179,3.88
5.10.244.165,443,true,LAX,North America,Los Angeles,165,3.88
135.84.64.50,443,true,LAX,North America,Los Angeles,182,3.87
5.10.244.209,443,true,LAX,North America,Los Angeles,175,3.87
45.131.210.64,443,true,LAX,North America,Los Angeles,189,3.87
5.10.245.16,443,true,LAX,North America,Los Angeles,194,3.87
31.12.75.141,443,true,LAX,North America,Los Angeles,177,3.86
5.10.244.204,443,true,LAX,North America,Los Angeles,245,3.85
108.162.194.10,443,true,LAX,North America,Los Angeles,173,3.85
5.10.247.54,443,true,LAX,North America,Los Angeles,174,3.85
31.12.75.248,443,true,LAX,North America,Los Angeles,174,3.85
5.10.245.19,443,true,LAX,North America,Los Angeles,191,3.85
5.10.245.205,443,true,LAX,North America,Los Angeles,187,3.85
5.10.245.201,443,true,LAX,North America,Los Angeles,167,3.85
5.10.244.217,443,true,LAX,North America,Los Angeles,186,3.84
