IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.219.207.181,443,true,SIN,Asia Pacific,Singapore,71,3.39
8.219.148.242,443,true,SIN,Asia Pacific,Singapore,64,3.35
8.219.153.233,443,true,SIN,Asia Pacific,Singapore,67,3.31
8.219.133.222,443,true,SIN,Asia Pacific,Singapore,70,3.28
64.110.90.182,443,true,ICN,Asia Pacific,Seoul,64,3.23
8.219.223.7,443,true,SIN,Asia Pacific,Singapore,65,3.09
47.236.29.174,443,true,SIN,Asia Pacific,Singapore,70,3.05
64.110.78.131,443,true,ICN,Asia Pacific,Seoul,66,2.97
8.219.205.174,443,true,SIN,Asia Pacific,Singapore,69,2.93
146.56.45.25,443,true,ICN,Asia Pacific,Seoul,68,2.92
47.245.118.162,443,true,SIN,Asia Pacific,Singapore,75,2.85
8.219.142.195,443,true,SIN,Asia Pacific,Singapore,66,2.84
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,58,2.75
8.219.130.147,443,true,SIN,Asia Pacific,Singapore,70,2.67
47.236.28.57,443,true,SIN,Asia Pacific,Singapore,62,2.58
47.239.14.220,443,true,HKG,Asia Pacific,Hong Kong,32,2.58
8.219.245.66,443,true,SIN,Asia Pacific,Singapore,69,2.49
8.219.195.126,443,true,SIN,Asia Pacific,Singapore,73,2.39
47.236.22.27,443,true,SIN,Asia Pacific,Singapore,69,2.35
8.222.185.220,443,true,SIN,Asia Pacific,Singapore,68,2.31
